ANO_ATEND,ANO_CMPT,CID,CNES,MES_ATEND,MES_CMPT,ORIGEM,PERIODO_ATEND,PERIODO_CMPT,QTD,SIGITAP,TIPO,UF
2017,2017,A419,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,14,306020106,PROC,SP
2017,2017,I839,2081091,1,1,PA_APAC,2017/01-A,2017/01-C,2,306020106,PROC,SP
2017,2017,N930,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,4,306020106,PROC,SP
2017,2017,S727,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,6,306020084,PROC,SP
2017,2017,M311,2078015,1,1,PA_APAC,2017/01-A,2017/01-C,3,306020106,PROC,SP
2017,2017,S271,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,4,306020106,PROC,SP
2017,2017,J90,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,11,306020106,PROC,SP
2017,2017,I710,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,18,306020106,PROC,SP
2017,2017,N189,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,7,306020084,PROC,SP
2017,2017,M629,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,7,306020106,PROC,SP
2017,2017,0,2090236,1,1,PA_APAC,2017/01-A,2017/01-C,6,306020106,PROC,SP
2017,2017,0,2077477,1,1,PA_APAC,2017/01-A,2017/01-C,7,306020084,PROC,SP
2017,2017,0,2051389,1,1,PA_APAC,2017/01-A,2017/01-C,7,306020106,PROC,SP
2017,2017,0,2078775,1,1,PA_APAC,2017/01-A,2017/01-C,3,306020106,PROC,SP
2017,2017,C920,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,15,306020106,PROC,SP
2017,2017,K729,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,24,306020084,PROC,SP
2016,2017,R040,2077477,12,1,PA_APAC,2016/12-A,2017/01-C,1,306020106,PROC,SP
2017,2017,K729,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,52,306020106,PROC,SP
2017,2017,D649,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,20,306020106,PROC,SP
2017,2017,Q211,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,2,306020106,PROC,SP
2017,2017,D693,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,337,306020106,PROC,SP
2017,2017,Z000,2755130,1,1,PA_APAC,2017/01-A,2017/01-C,4,306020106,PROC,SP
2017,2017,S727,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,21,306020106,PROC,SP
2017,2017,I714,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,9,306020106,PROC,SP
2017,2017,H348,2078015,1,1,PA_APAC,2017/01-A,2017/01-C,3,306020106,PROC,SP
2016,2017,D694,2078015,12,1,PA_APAC,2016/12-A,2017/01-C,1,306020106,PROC,SP
2017,2017,I710,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,23,306020084,PROC,SP
2017,2017,C52,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,4,306020106,PROC,SP
2017,2017,0,2093537,1,1,PA_APAC,2017/01-A,2017/01-C,6,306020106,PROC,SP
2016,2017,E831,2078015,12,1,PA_APAC,2016/12-A,2017/01-C,4,306020106,PROC,SP
2017,2017,C910,2077477,1,1,PA_APAC,2017/01-A,2017/01-C,2,306020084,PROC,SP
2017,2017,S065,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,5,306020084,PROC,SP
2017,2017,0,2070596,1,1,PA_APAC,2017/01-A,2017/01-C,5,306020106,PROC,SP
2017,2017,W269,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,4,306020106,PROC,SP
2017,2017,0,2078503,1,1,PA_APAC,2017/01-A,2017/01-C,2,306020106,PROC,SP
2017,2017,N189,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,24,306020106,PROC,SP
2017,2017,0,2047438,1,1,PA_APAC,2017/01-A,2017/01-C,257,306020106,PROC,SP
2016,2017,H348,2078015,12,1,PA_APAC,2016/12-A,2017/01-C,2,306020106,PROC,SP
2017,2017,0,2079410,1,1,PA_APAC,2017/01-A,2017/01-C,5,306020106,PROC,SP
2017,2017,Z000,2748223,1,1,PA_APAC,2017/01-A,2017/01-C,12,306020084,PROC,SP
2017,2017,Z944,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,21,306020106,PROC,SP
2017,2017,J180,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,3,306020106,PROC,SP
2017,2017,0,2079135,1,1,PA_APAC,2017/01-A,2017/01-C,3,306020106,PROC,SP
2017,2017,0,2083604,1,1,PA_APAC,2017/01-A,2017/01-C,6,306020106,PROC,SP
2017,2017,C509,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,2,306020106,PROC,SP
2017,2017,N189,2077477,1,1,PA_APAC,2017/01-A,2017/01-C,3,306020106,PROC,SP
2017,2017,Z006,2077485,1,1,PA_APAC,2017/01-A,2017/01-C,18,306020106,PROC,SP
2017,2017,I313,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,2,306020106,PROC,SP
2017,2017,K769,2069776,1,1,PA_APAC,2017/01-A,2017/01-C,1,306020106,PROC,SP
2016,2017,D688,2077477,12,1,PA_APAC,2016/12-A,2017/01-C,2,306020106,PROC,SP
2017,2017,R100,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,10,306020106,PROC,SP
2017,2017,K922,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,19,306020106,PROC,SP
2016,2017,0,2025361,12,1,PA_APAC,2016/12-A,2017/01-C,3,306020106,PROC,SP
2017,2017,D759,2088576,1,1,PA_APAC,2017/01-A,2017/01-C,6,306020106,PROC,SP
